Swapping columns 0, 1: Best Score: -99999.000000, Score: -1101.017156
Swapping columns 0, 1: Best Score: -1101.017156, Score: -1098.410555
Swapping columns 0, 1: Best Score: -1098.410555, Score: -1099.237768, Score: -1100.007184 Undoing swap!
Swapping columns 1, 2: Best Score: -1098.410555, Score: -1103.767047, Score: -1104.362196 Undoing swap!
Swapping columns 2, 3: Best Score: -1098.410555, Score: -1106.531465, Score: -1107.861928 Undoing swap!
Swapping columns 3, 4: Best Score: -1098.410555, Score: -1104.794067, Score: -1101.818989 Undoing swap!
Swapping columns 4, 5: Best Score: -1098.410555, Score: -1107.065948, Score: -1099.805182 Undoing swap!
Swapping columns 5, 6: Best Score: -1098.410555, Score: -1101.144628, Score: -1101.799913 Undoing swap!
Swapping columns 6, 7: Best Score: -1098.410555, Score: -1103.688620, Score: -1095.998012
Swapping columns 0, 1: Best Score: -1095.998012, Score: -1096.274375, Score: -1099.948453 Undoing swap!
Swapping columns 1, 2: Best Score: -1095.998012, Score: -1097.486686, Score: -1096.885524 Undoing swap!
Swapping columns 2, 3: Best Score: -1095.998012, Score: -1107.515292, Score: -1096.728497 Undoing swap!
Swapping columns 3, 4: Best Score: -1095.998012, Score: -1094.882165
Swapping columns 0, 1: Best Score: -1094.882165, Score: -1100.105461, Score: -1093.550331
Swapping columns 0, 1: Best Score: -1093.550331, Score: -1100.115481, Score: -1100.949162 Undoing swap!
Swapping columns 1, 2: Best Score: -1093.550331, Score: -1103.023406, Score: -1098.984645 Undoing swap!
Swapping columns 2, 3: Best Score: -1093.550331, Score: -1102.603644, Score: -1108.240868 Undoing swap!
Swapping columns 3, 4: Best Score: -1093.550331, Score: -1091.752750
Swapping columns 0, 1: Best Score: -1091.752750, Score: -1097.311992, Score: -1094.748670 Undoing swap!
Swapping columns 1, 2: Best Score: -1091.752750, Score: -1096.804192, Score: -1100.063626 Undoing swap!
Swapping columns 2, 3: Best Score: -1091.752750, Score: -1105.546459, Score: -1106.213591 Undoing swap!
Swapping columns 3, 4: Best Score: -1091.752750, Score: -1102.056683, Score: -1099.197216 Undoing swap!
Swapping columns 4, 5: Best Score: -1091.752750, Score: -1097.847282, Score: -1103.662834 Undoing swap!
Swapping columns 5, 6: Best Score: -1091.752750, Score: -1100.092934, Score: -1097.349529 Undoing swap!
Swapping columns 6, 7: Best Score: -1091.752750, Score: -1103.332530, Score: -1103.864695 Undoing swap!
Swapping columns 7, 8: Best Score: -1091.752750, Score: -1100.080538, Score: -1093.224407 Undoing swap!
Swapping columns 8, 9: Best Score: -1091.752750, Score: -1096.741319, Score: -1088.282852
Swapping columns 0, 1: Best Score: -1088.282852, Score: -1090.356102, Score: -1093.815094 Undoing swap!
Swapping columns 1, 2: Best Score: -1088.282852, Score: -1096.370868, Score: -1096.150246 Undoing swap!
Swapping columns 2, 3: Best Score: -1088.282852, Score: -1104.975828, Score: -1098.963313 Undoing swap!
Swapping columns 3, 4: Best Score: -1088.282852, Score: -1094.414310, Score: -1093.463795 Undoing swap!
Swapping columns 4, 5: Best Score: -1088.282852, Score: -1089.698990, Score: -1094.526730 Undoing swap!
Swapping columns 5, 6: Best Score: -1088.282852, Score: -1097.868567, Score: -1100.841828 Undoing swap!
Swapping columns 6, 7: Best Score: -1088.282852, Score: -1093.852411, Score: -1097.910103 Undoing swap!
Swapping columns 7, 8: Best Score: -1088.282852, Score: -1097.122505, Score: -1095.521350 Undoing swap!
Swapping columns 8, 9: Best Score: -1088.282852, Score: -1097.829256, Score: -1092.423946 Undoing swap!
Swapping columns 9, 10: Best Score: -1088.282852, Score: -1100.618983, Score: -1101.271410 Undoing swap!
Swapping columns 10, 11: Best Score: -1088.282852, Score: -1102.738528, Score: -1098.311937 Undoing swap!
Swapping columns 11, 12: Best Score: -1088.282852, Score: -1093.472342, Score: -1093.125479 Undoing swap!
Swapping columns 12, 13: Best Score: -1088.282852, Score: -1089.758164, Score: -1091.832152 Undoing swap!
Swapping columns 13, 14: Best Score: -1088.282852, Score: -1089.495780, Score: -1085.893922
Swapping columns 0, 1: Best Score: -1085.893922, Score: -1087.544035, Score: -1093.260252 Undoing swap!
Swapping columns 1, 2: Best Score: -1085.893922, Score: -1095.466765, Score: -1098.259219 Undoing swap!
Swapping columns 2, 3: Best Score: -1085.893922, Score: -1098.075553, Score: -1098.772839 Undoing swap!
Swapping columns 3, 4: Best Score: -1085.893922, Score: -1091.830842, Score: -1089.619640 Undoing swap!
Swapping columns 4, 5: Best Score: -1085.893922, Score: -1098.826354, Score: -1093.674395 Undoing swap!
Swapping columns 5, 6: Best Score: -1085.893922, Score: -1093.621333, Score: -1091.134213 Undoing swap!
Swapping columns 6, 7: Best Score: -1085.893922, Score: -1098.262891, Score: -1096.264320 Undoing swap!
Swapping columns 7, 8: Best Score: -1085.893922, Score: -1091.000303, Score: -1096.587913 Undoing swap!
Swapping columns 8, 9: Best Score: -1085.893922, Score: -1097.587636, Score: -1098.487419 Undoing swap!
Swapping columns 9, 10: Best Score: -1085.893922, Score: -1096.364461, Score: -1086.434589 Undoing swap!
Swapping columns 10, 11: Best Score: -1085.893922, Score: -1096.890367, Score: -1097.769284 Undoing swap!
Swapping columns 11, 12: Best Score: -1085.893922, Score: -1092.829066, Score: -1094.025665 Undoing swap!
Swapping columns 12, 13: Best Score: -1085.893922, Score: -1096.384393, Score: -1093.840173 Undoing swap!
Swapping columns 13, 14: Best Score: -1085.893922, Score: -1092.461861, Score: -1094.481193 Undoing swap!
Swapping columns 14, 15: Best Score: -1085.893922, Score: -1091.167294, Score: -1100.526434 Undoing swap!
Swapping columns 15, 16: Best Score: -1085.893922, Score: -1089.185604, Score: -1096.997011 Undoing swap!
Swapping columns 0, 2: Best Score: -1085.893922, Score: -1093.971964, Score: -1100.110614 Undoing swap!
Swapping columns 1, 3: Best Score: -1085.893922, Score: -1097.584442, Score: -1097.612791 Undoing swap!
Swapping columns 2, 4: Best Score: -1085.893922, Score: -1101.406299, Score: -1101.289389 Undoing swap!
