Swapping columns 0, 1: Best Score: -99999.000000, Score: -1432.426265
Swapping columns 0, 1: Best Score: -1432.426265, Score: -1434.637104, Score: -1431.784956
Swapping columns 0, 1: Best Score: -1431.784956, Score: -1439.240302, Score: -1427.968473
Swapping columns 0, 1: Best Score: -1427.968473, Score: -1430.772855, Score: -1438.765781 Undoing swap!
Swapping columns 1, 2: Best Score: -1427.968473, Score: -1428.593920, Score: -1432.055608 Undoing swap!
Swapping columns 2, 3: Best Score: -1427.968473, Score: -1433.524808, Score: -1429.166285 Undoing swap!
Swapping columns 3, 4: Best Score: -1427.968473, Score: -1437.721814, Score: -1424.710305
Swapping columns 0, 1: Best Score: -1424.710305, Score: -1426.887975, Score: -1438.650260 Undoing swap!
Swapping columns 1, 2: Best Score: -1424.710305, Score: -1428.275521, Score: -1432.555243 Undoing swap!
Swapping columns 2, 3: Best Score: -1424.710305, Score: -1429.686937, Score: -1440.124816 Undoing swap!
Swapping columns 3, 4: Best Score: -1424.710305, Score: -1426.628375, Score: -1429.857933 Undoing swap!
Swapping columns 4, 5: Best Score: -1424.710305, Score: -1436.438816, Score: -1434.625842 Undoing swap!
Swapping columns 5, 6: Best Score: -1424.710305, Score: -1432.819445, Score: -1431.679657 Undoing swap!
Swapping columns 6, 7: Best Score: -1424.710305, Score: -1431.999640, Score: -1431.242490 Undoing swap!
Swapping columns 7, 8: Best Score: -1424.710305, Score: -1431.564397, Score: -1430.914804 Undoing swap!
Swapping columns 8, 9: Best Score: -1424.710305, Score: -1437.731030, Score: -1438.381756 Undoing swap!
Swapping columns 9, 10: Best Score: -1424.710305, Score: -1440.597835, Score: -1440.374476 Undoing swap!
Swapping columns 10, 11: Best Score: -1424.710305, Score: -1436.748731, Score: -1439.334477 Undoing swap!
Swapping columns 11, 12: Best Score: -1424.710305, Score: -1438.956545, Score: -1436.823278 Undoing swap!
Swapping columns 12, 13: Best Score: -1424.710305, Score: -1442.610916, Score: -1436.001322 Undoing swap!
Swapping columns 13, 14: Best Score: -1424.710305, Score: -1439.911516, Score: -1432.831426 Undoing swap!
