Swapping columns 0, 1: Best Score: -99999.000000, Score: -1434.181160
Swapping columns 0, 1: Best Score: -1434.181160, Score: -1436.597403, Score: -1436.113176 Undoing swap!
Swapping columns 1, 2: Best Score: -1434.181160, Score: -1429.792686
Swapping columns 0, 1: Best Score: -1429.792686, Score: -1433.485019, Score: -1438.378245 Undoing swap!
Swapping columns 1, 2: Best Score: -1429.792686, Score: -1440.801053, Score: -1439.152877 Undoing swap!
Swapping columns 2, 3: Best Score: -1429.792686, Score: -1432.399993, Score: -1429.795923 Undoing swap!
Swapping columns 3, 4: Best Score: -1429.792686, Score: -1435.931561, Score: -1440.643049 Undoing swap!
Swapping columns 4, 5: Best Score: -1429.792686, Score: -1427.001123
Swapping columns 0, 1: Best Score: -1427.001123, Score: -1429.664232, Score: -1437.522227 Undoing swap!
Swapping columns 1, 2: Best Score: -1427.001123, Score: -1431.359951, Score: -1428.943691 Undoing swap!
Swapping columns 2, 3: Best Score: -1427.001123, Score: -1431.020198, Score: -1438.870034 Undoing swap!
Swapping columns 3, 4: Best Score: -1427.001123, Score: -1425.236975
Swapping columns 0, 1: Best Score: -1425.236975, Score: -1431.776089, Score: -1428.789640 Undoing swap!
Swapping columns 1, 2: Best Score: -1425.236975, Score: -1440.386152, Score: -1428.730241 Undoing swap!
Swapping columns 2, 3: Best Score: -1425.236975, Score: -1433.829214, Score: -1425.416734 Undoing swap!
Swapping columns 3, 4: Best Score: -1425.236975, Score: -1434.918610, Score: -1430.935077 Undoing swap!
Swapping columns 4, 5: Best Score: -1425.236975, Score: -1435.020177, Score: -1442.590811 Undoing swap!
Swapping columns 5, 6: Best Score: -1425.236975, Score: -1435.622632, Score: -1435.772264 Undoing swap!
Swapping columns 6, 7: Best Score: -1425.236975, Score: -1436.074012, Score: -1439.694086 Undoing swap!
Swapping columns 7, 8: Best Score: -1425.236975, Score: -1433.428685, Score: -1441.313210 Undoing swap!
Swapping columns 8, 9: Best Score: -1425.236975, Score: -1424.505065
Swapping columns 0, 1: Best Score: -1424.505065, Score: -1428.819138, Score: -1439.861332 Undoing swap!
Swapping columns 1, 2: Best Score: -1424.505065, Score: -1442.262656, Score: -1431.090409 Undoing swap!
Swapping columns 2, 3: Best Score: -1424.505065, Score: -1424.990483, Score: -1424.791056 Undoing swap!
Swapping columns 3, 4: Best Score: -1424.505065, Score: -1432.740519, Score: -1428.482429 Undoing swap!
Swapping columns 4, 5: Best Score: -1424.505065, Score: -1428.299460, Score: -1441.885796 Undoing swap!
Swapping columns 5, 6: Best Score: -1424.505065, Score: -1429.159611, Score: -1429.970368 Undoing swap!
Swapping columns 6, 7: Best Score: -1424.505065, Score: -1434.602693, Score: -1434.130100 Undoing swap!
Swapping columns 7, 8: Best Score: -1424.505065, Score: -1436.347894, Score: -1437.766912 Undoing swap!
Swapping columns 8, 9: Best Score: -1424.505065, Score: -1438.159232, Score: -1432.495858 Undoing swap!
Swapping columns 9, 10: Best Score: -1424.505065, Score: -1434.787783, Score: -1440.996791 Undoing swap!
Swapping columns 10, 11: Best Score: -1424.505065, Score: -1434.416384, Score: -1436.272580 Undoing swap!
Swapping columns 11, 12: Best Score: -1424.505065, Score: -1440.935865, Score: -1427.033939 Undoing swap!
Swapping columns 12, 13: Best Score: -1424.505065, Score: -1431.569146, Score: -1438.928188 Undoing swap!
Swapping columns 13, 14: Best Score: -1424.505065, Score: -1431.819488, Score: -1428.425405 Undoing swap!
Swapping columns 14, 15: Best Score: -1424.505065, Score: -1441.538178, Score: -1431.575510 Undoing swap!
Swapping columns 15, 16: Best Score: -1424.505065, Score: -1432.524892, Score: -1431.433980 Undoing swap!
Swapping columns 0, 2: Best Score: -1424.505065, Score: -1437.133481, Score: -1441.914353 Undoing swap!
Swapping columns 1, 3: Best Score: -1424.505065, Score: -1436.742342, Score: -1428.639402 Undoing swap!
Swapping columns 2, 4: Best Score: -1424.505065, Score: -1429.304376, Score: -1429.968822 Undoing swap!
Swapping columns 3, 5: Best Score: -1424.505065, Score: -1440.990041, Score: -1428.377452 Undoing swap!
Swapping columns 4, 6: Best Score: -1424.505065, Score: -1434.926746, Score: -1439.247356 Undoing swap!
Swapping columns 5, 7: Best Score: -1424.505065, Score: -1431.597471, Score: -1431.311025 Undoing swap!
Swapping columns 6, 8: Best Score: -1424.505065, Score: -1437.929822, Score: -1427.842401 Undoing swap!
Swapping columns 7, 9: Best Score: -1424.505065, Score: -1425.747828, Score: -1436.743093 Undoing swap!
Swapping columns 8, 10: Best Score: -1424.505065, Score: -1428.992094, Score: -1438.506612 Undoing swap!
Swapping columns 9, 11: Best Score: -1424.505065, Score: -1430.606242, Score: -1431.342834 Undoing swap!
Swapping columns 10, 12: Best Score: -1424.505065, Score: -1434.196393, Score: -1431.729402 Undoing swap!
Swapping columns 11, 13: Best Score: -1424.505065, Score: -1428.816928, Score: -1432.222634 Undoing swap!
Swapping columns 12, 14: Best Score: -1424.505065, Score: -1427.616144, Score: -1429.704148 Undoing swap!
Swapping columns 13, 15: Best Score: -1424.505065, Score: -1432.867004, Score: -1424.675811 Undoing swap!
Swapping columns 14, 16: Best Score: -1424.505065, Score: -1426.672639, Score: -1430.397987 Undoing swap!
Swapping columns 0, 3: Best Score: -1424.505065, Score: -1433.273601, Score: -1435.963536 Undoing swap!
Swapping columns 1, 4: Best Score: -1424.505065, Score: -1430.930124, Score: -1436.645854 Undoing swap!
Swapping columns 2, 5: Best Score: -1424.505065, Score: -1429.617406, Score: -1438.842706 Undoing swap!
Swapping columns 3, 6: Best Score: -1424.505065, Score: -1436.986518, Score: -1438.949209 Undoing swap!
Swapping columns 4, 7: Best Score: -1424.505065, Score: -1440.231474, Score: -1439.837061 Undoing swap!
